epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,39.5599,0.9629,0.9749,0.88821,0.69619,0.79219,0.82703,0.56988,1.20676,1.01583,0.93216,0.000445735,0.000445735,0.000445735
97,39.885,1.09429,1.04955,0.89308,0.69619,0.79219,0.82703,0.56988,1.20676,1.01583,0.93216,0.000442911,0.000442911,0.000442911
98,40.251,0.95408,1.02366,0.89453,0.66771,0.81771,0.83039,0.57426,1.23593,1.03196,0.93969,0.000440087,0.000440087,0.000440087
99,40.6062,1.0298,1.05572,0.91567,0.76964,0.78107,0.85803,0.61024,1.19482,0.94585,0.92622,0.000437264,0.000437264,0.000437264
100,40.9537,0.95105,0.90956,0.86482,0.78852,0.79104,0.87638,0.64313,1.13488,0.83642,0.91468,0.00043444,0.00043444,0.00043444
101,41.4718,0.97744,1.0301,0.88177,0.78852,0.79104,0.87638,0.64313,1.13488,0.83642,0.91468,0.000431616,0.000431616,0.000431616
102,41.9043,0.95256,0.95194,0.89851,0.87204,0.76091,0.87936,0.64478,1.14857,0.81032,0.91708,0.000428792,0.000428792,0.000428792
103,42.4705,1.07652,1.06254,0.90849,0.88313,0.7466,0.87358,0.63823,1.16517,0.81694,0.91719,0.000425968,0.000425968,0.000425968
104,42.8138,1.04055,1.09136,0.90769,0.91078,0.74381,0.87368,0.64317,1.1692,0.81258,0.91639,0.000423144,0.000423144,0.000423144
105,43.1481,0.94646,0.95316,0.8992,0.91078,0.74381,0.87368,0.64317,1.1692,0.81258,0.91639,0.00042032,0.00042032,0.00042032
106,43.4872,0.88736,0.93239,0.85762,0.91525,0.80094,0.8967,0.66491,1.16061,0.79475,0.9174,0.000417497,0.000417497,0.000417497
107,43.9371,0.93796,0.95352,0.87895,0.93944,0.75725,0.89218,0.64787,1.16214,0.78453,0.92364,0.000414673,0.000414673,0.000414673
108,44.3117,0.93556,0.92815,0.87015,0.93499,0.7333,0.87774,0.62561,1.16312,0.78315,0.92493,0.000411849,0.000411849,0.000411849
109,44.6429,0.88091,0.88049,0.87624,0.93499,0.7333,0.87774,0.62561,1.16312,0.78315,0.92493,0.000409025,0.000409025,0.000409025
110,44.9587,0.9717,0.98265,0.92669,0.94692,0.72964,0.89884,0.62507,1.19384,0.77014,0.93132,0.000406201,0.000406201,0.000406201
111,45.3039,0.8813,0.93663,0.86129,0.86713,0.79597,0.88389,0.62175,1.23829,0.7607,0.94113,0.000403377,0.000403377,0.000403377
112,45.64,1.00477,0.95677,0.88215,0.90203,0.75156,0.87381,0.62041,1.23389,0.78925,0.93672,0.000400554,0.000400554,0.000400554
113,45.9938,0.99614,0.90591,0.87464,0.90203,0.75156,0.87381,0.62041,1.23389,0.78925,0.93672,0.00039773,0.00039773,0.00039773
114,46.4005,0.93191,0.93333,0.87795,0.83353,0.78447,0.8464,0.60952,1.17624,0.82711,0.92169,0.000394906,0.000394906,0.000394906
115,46.7436,0.94602,0.94449,0.89323,0.70258,0.79667,0.84731,0.61353,1.1448,0.87114,0.91285,0.000392082,0.000392082,0.000392082
116,47.1097,0.90736,0.938,0.87788,0.88049,0.78003,0.86831,0.62178,1.16861,0.84883,0.91671,0.000389258,0.000389258,0.000389258
117,47.4375,0.93942,0.89726,0.86735,0.88049,0.78003,0.86831,0.62178,1.16861,0.84883,0.91671,0.000386434,0.000386434,0.000386434
118,47.7622,0.94017,0.92174,0.88391,0.91667,0.73394,0.88222,0.62643,1.25925,0.82361,0.93324,0.000383611,0.000383611,0.000383611
119,48.1365,1.00908,0.90716,0.87677,0.93637,0.72055,0.88888,0.60678,1.30911,0.80206,0.95209,0.000380787,0.000380787,0.000380787
120,48.6539,0.94147,0.88519,0.83992,0.94767,0.70223,0.86915,0.59097,1.29142,0.77125,0.95247,0.000377963,0.000377963,0.000377963
121,49.0349,0.92334,1.03332,0.90685,0.94767,0.70223,0.86915,0.59097,1.29142,0.77125,0.95247,0.000375139,0.000375139,0.000375139
122,49.3604,0.90061,0.94859,0.8573,0.9185,0.75786,0.86722,0.61455,1.22429,0.72839,0.94032,0.000372315,0.000372315,0.000372315
123,49.7322,0.87529,0.90223,0.87707,0.96911,0.77469,0.87758,0.63264,1.17229,0.7074,0.93038,0.000369491,0.000369491,0.000369491
124,50.04,1.03108,0.88174,0.9073,0.91581,0.80099,0.87403,0.63686,1.17764,0.71099,0.92517,0.000366668,0.000366668,0.000366668
125,50.3511,0.91258,0.87855,0.84858,0.91581,0.80099,0.87403,0.63686,1.17764,0.71099,0.92517,0.000363844,0.000363844,0.000363844
126,50.6807,0.89246,0.96746,0.86329,0.87721,0.82072,0.86059,0.61943,1.20226,0.73382,0.92539,0.00036102,0.00036102,0.00036102
127,51.0537,0.90905,0.90752,0.8601,0.87619,0.78585,0.85484,0.60579,1.24175,0.75863,0.92962,0.000358196,0.000358196,0.000358196
128,51.4079,0.82745,0.88999,0.84962,0.82564,0.83513,0.85491,0.60806,1.22668,0.77362,0.92559,0.000355372,0.000355372,0.000355372
